Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,PageValues,OperatingSystems,Browser,Region,TrafficType
0,0,0,0,2,76,0,3,2,3,3
0,0,0,0,1,0,0,1,1,1,3
0,0,0,0,1,0,0,1,1,1,3
0,0,0,0,7,208,0,4,1,1,5
0,0,0,0,4,270,0,1,1,1,3
0,0,0,0,6,40,0,2,2,1,3
0,0,0,0,12,375,0,3,2,4,1
0,0,0,0,1,0,0,2,2,2,1
0,0,0,0,1,0,0,1,1,1,3
0,0,0,0,7,150,0,2,2,2,1
0,0,0,0,3,138,0,1,1,1,3
0,0,0,0,7,338,0,4,1,3,3
0,0,0,0,19,620,0,1,1,4,2
2,36,0,0,15,169,0,1,1,1,3
0,0,0,0,1,0,0,1,1,1,2
0,0,0,0,2,52,0,1,1,1,3
0,0,0,0,13,649,0,2,2,1,5
0,0,0,0,27,925,0,4,1,3,3
0,0,0,0,2,33,0,1,1,1,3
0,0,0,0,6,1567,0,1,1,1,3
0,0,0,0,4,105,0,1,1,1,4
0,0,1,0,7,50,0,2,4,1,7
0,0,0,0,16,644,0,3,2,3,4
3,18,0,0,38,2635,0,2,4,1,2
4,61,0,0,19,607,18,1,1,7,4
0,0,0,0,6,415,0,1,1,3,2
2,31,1,16,36,2084,0,2,2,4,3
3,59,0,0,17,282,0,1,1,3,4
0,0,0,0,2,27,0,1,1,7,2
0,0,1,0,9,215,0,4,1,1,3
0,0,0,0,12,162,0,1,1,1,3
0,0,0,0,2,114,0,3,3,1,3
6,326,4,94,128,5062,0,2,5,1,3
0,0,0,0,4,253,0,2,2,3,3
0,0,0,0,4,0,0,2,2,1,3
0,0,0,0,1,0,0,1,1,2,3
2,22,0,0,25,437,0,2,4,1,1
0,0,1,93,30,1046,0,1,1,1,3
0,0,0,0,12,318,0,1,1,1,4
0,0,0,0,21,1146,0,3,2,1,3
0,0,0,0,11,577,0,2,2,3,1
0,0,0,0,8,95,0,4,1,3,3
0,0,0,0,6,302,0,2,4,9,3
0,0,0,0,6,243,0,2,4,4,1
0,0,0,0,4,136,0,2,2,1,2
0,0,2,75,14,442,0,1,1,3,3
0,0,0,0,3,41,0,1,1,3,3
0,0,0,0,11,293,0,2,4,3,1
0,0,0,0,1,0,0,1,1,3,3
0,0,0,0,9,1238,0,2,2,1,3
0,0,0,0,10,225,0,1,1,8,3
4,462,0,0,51,1873,0,2,2,9,3
0,0,0,0,3,13,0,2,4,1,1
0,0,0,0,2,222,0,2,6,1,2
2,20,0,0,16,215,0,2,2,1,6
0,0,0,0,1,0,0,3,2,3,3
0,0,0,0,6,2017,0,2,2,4,3
6,112,0,0,26,449,0,1,1,3,3
0,0,0,0,6,158,0,3,2,4,2
0,0,0,0,9,304,0,2,4,5,2
0,0,0,0,3,25,0,2,4,1,5
0,0,0,0,2,42,0,2,2,1,4
4,104,0,0,14,1003,0,1,1,3,3
0,0,0,0,1,0,0,2,2,7,3
0,0,0,0,9,273,0,1,1,6,3
3,19,0,0,8,344,0,2,4,2,3
0,0,0,0,1,0,0,2,2,2,3
0,0,1,19,10,852,0,2,2,3,6
0,0,0,0,3,780,0,2,4,1,3
0,0,0,0,3,1038,0,2,2,1,1
0,0,0,0,4,573,0,2,2,3,3
0,0,0,0,28,1231,0,1,1,4,3
0,0,0,0,11,317,0,2,2,2,1
0,0,0,0,20,874,0,1,2,1,1
0,0,0,0,1,0,0,2,2,3,4
0,0,0,0,4,16,0,2,5,5,1
0,0,0,0,19,615,0,2,2,3,3
0,0,0,0,9,262,0,2,6,1,1
0,0,0,0,21,616,0,3,2,2,1
0,0,0,0,1,0,0,3,3,3,2
0,0,0,0,6,118,0,1,1,1,3
0,0,0,0,1,0,0,1,1,1,3
0,0,0,0,1,0,0,3,2,3,3
0,0,0,0,23,502,0,1,1,4,2
2,58,2,22,31,829,0,1,1,1,1
1,10,0,0,23,1223,0,1,1,1,2
0,0,0,0,6,467,0,1,1,3,3
0,0,0,0,23,737,0,2,2,1,3
0,0,0,0,12,129,0,1,1,3,2
0,0,0,0,5,63,0,2,2,1,3
0,0,0,0,5,125,0,2,2,1,3
0,0,0,0,11,684,0,2,4,6,1
0,0,0,0,20,665,0,3,2,7,4
1,0,0,0,15,488,0,1,1,2,4
0,0,0,0,17,437,0,2,4,1,3
0,0,0,0,3,55,0,1,1,1,3
0,0,0,0,1,0,0,1,1,1,2
5,41,0,0,24,447,0,2,2,8,1
3,87,0,0,10,321,0,1,1,2,3
0,0,0,0,7,666,0,1,1,6,2
1,0,0,0,21,406,0,1,1,1,4
0,0,0,0,1,0,0,3,2,3,3
0,0,0,0,6,163,0,1,1,6,2
0,0,0,0,17,284,0,3,2,6,2
0,0,0,0,1,0,0,4,2,1,3
0,0,0,0,1,0,0,2,4,1,1
0,0,0,0,8,260,0,3,2,1,3
0,0,16,1210,5,280,0,2,2,1,8
0,0,0,0,20,927,8,1,1,3,1
2,9,0,0,50,837,0,2,2,3,2
10,294,2,153,96,3283,0,3,2,6,2
9,112,1,49,49,1869,2,2,2,7,2
3,47,1,51,68,3008,47,2,2,1,1
0,0,0,0,2,0,0,1,1,1,3
3,1226,5,3,24,3230,0,2,2,1,2
3,52,0,0,9,319,0,1,1,1,1
0,0,0,0,3,42,0,2,2,3,1
0,0,0,0,22,354,0,1,1,7,2
0,0,0,0,98,3557,0,1,1,1,3
2,56,1,144,67,2564,19,2,2,4,2
3,113,0,0,13,3014,0,2,2,1,2
0,0,0,0,17,840,109,2,2,9,2
3,94,2,125,55,1971,96,2,4,1,2
